Entity,Code,Year,Share of population with no education,Education
Thailand,THA,1960,34.36548,65.63452
Thailand,THA,1965,27.749176,72.250824
Thailand,THA,1970,22.000687,77.99931
Thailand,THA,1975,16.96172,83.038284
Thailand,THA,1980,12.993407,87.00659
Thailand,THA,1985,9.914122,90.08588
Thailand,THA,1990,7.850814,92.149185
Thailand,THA,1995,6.4082522,93.59175
Thailand,THA,2000,5.3480873,94.65192
Thailand,THA,2005,4.519478,95.48052
Thailand,THA,2010,3.729064,96.270935
Thailand,THA,2015,2.9532635,97.04674
Thailand,THA,2020,2.7397833,97.260216
Thailand,THA,2025,2.4464378,97.55356
Thailand,THA,2030,2.2004044,97.7996
Thailand,THA,2035,2.0087085,97.991295
Thailand,THA,2040,1.8556552,98.14435
Thailand,THA,2045,1.7267541,98.27325
Thailand,THA,2050,1.6086001,98.3914
Thailand,THA,2055,1.4939436,98.50606
Thailand,THA,2060,1.3753284,98.62467
Thailand,THA,2065,1.2483548,98.75165
Thailand,THA,2070,1.1108983,98.8891
Thailand,THA,2075,0.9650135,99.03499
Thailand,THA,2080,0.82056946,99.17943
Thailand,THA,2085,0.6903069,99.30969
Thailand,THA,2090,0.5832343,99.41676
Thailand,THA,2095,0.49902865,99.50097
Thailand,THA,2100,0.4320461,99.567955
Turkey,TUR,1950,61.075775,38.924225
Turkey,TUR,1955,53.960926,46.039074
Turkey,TUR,1960,47.41806,52.58194
Turkey,TUR,1965,41.03945,58.96055
Turkey,TUR,1970,34.106163,65.89384
Turkey,TUR,1975,28.250216,71.74979
Turkey,TUR,1980,22.835463,77.164536
Turkey,TUR,1985,18.283216,81.71678
Turkey,TUR,1990,14.43463,85.56537
Turkey,TUR,1995,11.360759,88.639244
Turkey,TUR,2000,8.990974,91.009026
Turkey,TUR,2005,7.1650805,92.83492
Turkey,TUR,2010,5.6759744,94.32403
Turkey,TUR,2015,4.4227247,95.57728
Turkey,TUR,2020,2.8455667,97.154434
Turkey,TUR,2025,2.2023695,97.79763
Turkey,TUR,2030,1.7290854,98.27091
Turkey,TUR,2035,1.3592119,98.640785
Turkey,TUR,2040,1.092545,98.907455
Turkey,TUR,2045,0.8892648,99.11073
Turkey,TUR,2050,0.73230004,99.2677
Turkey,TUR,2055,0.6066476,99.39335
Turkey,TUR,2060,0.50178385,99.498215
Turkey,TUR,2065,0.40852463,99.59148
Turkey,TUR,2070,0.32189634,99.6781
Turkey,TUR,2075,0.24289185,99.75711
Turkey,TUR,2080,0.17653531,99.82346
Turkey,TUR,2085,0.12761538,99.87238
Turkey,TUR,2090,0.095699534,99.9043
Turkey,TUR,2095,0.075423524,99.924576
Turkey,TUR,2100,0.06108395,99.93892
United Kingdom,GBR,1950,0,100
United Kingdom,GBR,1955,0,100
United Kingdom,GBR,1960,0,100
United Kingdom,GBR,1965,0,100
United Kingdom,GBR,1970,0,100
United Kingdom,GBR,1975,0,100
United Kingdom,GBR,1980,0,100
United Kingdom,GBR,1985,0,100
United Kingdom,GBR,1990,0,100
United Kingdom,GBR,1995,0,100
United Kingdom,GBR,2000,0,100
United Kingdom,GBR,2005,0,100
United Kingdom,GBR,2010,0,100
United Kingdom,GBR,2015,0,100
United Kingdom,GBR,2020,0.010362298,99.98964
United Kingdom,GBR,2025,0.03878859,99.96121
United Kingdom,GBR,2030,0.045811914,99.954185
United Kingdom,GBR,2035,0.05124652,99.94875
United Kingdom,GBR,2040,0.055942006,99.94406
United Kingdom,GBR,2045,0.05973086,99.94027
United Kingdom,GBR,2050,0.062130187,99.93787
United Kingdom,GBR,2055,0.06310941,99.93689
United Kingdom,GBR,2060,0.062836446,99.937164
United Kingdom,GBR,2065,0.06017044,99.93983
United Kingdom,GBR,2070,0.056530245,99.94347
United Kingdom,GBR,2075,0.051745933,99.94826
United Kingdom,GBR,2080,0.046541173,99.95346
United Kingdom,GBR,2085,0.04071514,99.95928
United Kingdom,GBR,2090,0.035126854,99.964874
United Kingdom,GBR,2095,0.029905291,99.97009
United Kingdom,GBR,2100,0.025207289,99.97479
United States,USA,1950,4.166215,95.833786
United States,USA,1955,3.561091,96.43891
United States,USA,1960,3.031237,96.968765
United States,USA,1965,2.5885887,97.41141
United States,USA,1970,2.259851,97.74015
United States,USA,1975,2.012823,97.987175
United States,USA,1980,1.8236006,98.1764
United States,USA,1985,1.6878929,98.3121
United States,USA,1990,1.575507,98.42449
United States,USA,1995,1.472834,98.52717
United States,USA,2000,1.3674586,98.63254
United States,USA,2005,1.2538421,98.746155
United States,USA,2010,1.1180508,98.88195
United States,USA,2015,0.98379004,99.01621
United States,USA,2020,0.89434767,99.10565
United States,USA,2025,0.8263733,99.17363
United States,USA,2030,0.7424456,99.25755
United States,USA,2035,0.6708012,99.3292
United States,USA,2040,0.6078318,99.392166
United States,USA,2045,0.5495719,99.45043
United States,USA,2050,0.49208632,99.50791
United States,USA,2055,0.4363755,99.56362
United States,USA,2060,0.38338816,99.616615
United States,USA,2065,0.33170676,99.6683
United States,USA,2070,0.28366032,99.71634
United States,USA,2075,0.23902991,99.76097
United States,USA,2080,0.19793935,99.80206
United States,USA,2085,0.16145183,99.83855
United States,USA,2090,0.13090408,99.869095
United States,USA,2095,0.10589661,99.894104
United States,USA,2100,0.08508077,99.91492
World,OWID_WRL,1820,82.81073,17.189274
World,OWID_WRL,1870,76.1,23.9
World,OWID_WRL,1880,73.3,26.7
World,OWID_WRL,1890,70.4,29.6
World,OWID_WRL,1900,66.8,33.2
World,OWID_WRL,1910,64.4,35.6
World,OWID_WRL,1920,61.4,38.6
World,OWID_WRL,1930,59.1,40.9
World,OWID_WRL,1940,54.1,45.9
World,OWID_WRL,1950,45.658356,54.341644
World,OWID_WRL,1955,42.505016,57.494984
World,OWID_WRL,1960,39.48105,60.51895
World,OWID_WRL,1965,36.15206,63.84794
World,OWID_WRL,1970,32.879738,67.12026
World,OWID_WRL,1975,29.93702,70.06298
World,OWID_WRL,1980,27.202904,72.7971
World,OWID_WRL,1985,24.677483,75.32252
World,OWID_WRL,1990,22.429039,77.57096
World,OWID_WRL,1995,20.643742,79.35626
World,OWID_WRL,2000,18.871643,81.12836
World,OWID_WRL,2005,17.038149,82.96185
World,OWID_WRL,2010,15.306504,84.6935
World,OWID_WRL,2015,13.8937645,86.10623
World,OWID_WRL,2020,13.064211,86.93579
World,OWID_WRL,2025,11.788904,88.2111
World,OWID_WRL,2030,10.632275,89.36772
World,OWID_WRL,2035,9.573694,90.42631
World,OWID_WRL,2040,8.635324,91.36468
World,OWID_WRL,2045,7.759045,92.24095
World,OWID_WRL,2050,6.9335146,93.06648
World,OWID_WRL,2055,6.155325,93.84467
World,OWID_WRL,2060,5.4278145,94.57219
World,OWID_WRL,2065,4.756105,95.2439
World,OWID_WRL,2070,4.1461143,95.85388
World,OWID_WRL,2075,3.601061,96.39894
World,OWID_WRL,2080,3.1230059,96.87699
World,OWID_WRL,2085,2.7092988,97.2907
World,OWID_WRL,2090,2.3544543,97.645546
World,OWID_WRL,2095,2.051334,97.94867
World,OWID_WRL,2100,1.7923324,98.207664
